,IM,EQRecord,MaxDrift,MaxAbsAccel,MaxRelativeAccel,ResDrift,Iffinish
0,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.00505307 0.00415964 0.00233684],[0.58355  0.983072 1.36315  1.78419 ],[0.      1.1026  1.81196 2.23301],0.000159343,1.0
1,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0158096 0.0118474 0.0063991],[1.81549 2.24672 2.1133  2.97005],[0.      1.99186 2.65481 3.44752],0.00030403200000000003,1.0
2,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0391569 0.0288938 0.0150445],[3.04743 3.50507 3.57391 3.96299],[0.      3.04073 4.13122 4.49569],0.00322548,1.0
3,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0646108 0.0444864 0.0226813],[4.27937 4.55338 4.66173 5.04926],[0.      3.89115 5.45782 5.79732],0.0147037,1.0
4,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.0897249 0.0614885 0.0303937],[5.5113  5.44824 5.39563 5.79067],[0.      4.94063 6.73763 7.71926],0.0230464,1.0
5,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.117255  0.0792914 0.0401249],[6.74324 6.28538 6.14299 6.66299],[0.      6.13045 8.51601 9.9632 ],0.032694299999999996,1.0
6,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.146266  0.101853  0.0516241],[7.97518 7.24944 6.99156 7.5189 ],[ 0.       7.23878 10.1264  11.722  ],0.044202899999999996,1.0
7,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.181791  0.126536  0.0646465],[9.20712 8.19956 7.74516 8.35338],[ 0.       8.50478 11.5331  13.3847 ],0.0639796,1.0
8,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.209244  0.147815  0.0768478],[10.4391   9.15662  8.48353  9.1816 ],[ 0.       9.78626 12.9535  15.0578 ],0.07183819999999999,1.0
9,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN68_SFERN_PEL090,[0.238523  0.16887   0.0888133],[11.671   10.1395   9.1741   9.98105],[ 0.     11.0605 14.3635 16.7274],0.0824424,1.0
10,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00172182 0.0016517  0.00089509],[0.296423 0.336907 0.598965 0.663764],[0.       0.38364  0.703701 0.730167],1.5275999999999997e-05,1.0
11,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00522022 0.00529548 0.00298857],[0.922206 0.895753 1.66765  2.0099  ],[0.      1.19355 1.9935  2.14657],0.00044827699999999996,1.0
12,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0064976  0.00549765 0.00411255],[1.54799 1.33107 1.84776 2.45876],[0.      1.78243 2.6019  2.78084],0.000540139,1.0
13,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00853099 0.00738308 0.00454693],[2.17377 1.79839 2.02974 2.48615],[0.      2.20094 2.93292 3.58941],0.000381529,1.0
14,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.00994754 0.00809317 0.00636599],[2.79956 2.4122  2.3145  3.18599],[0.      2.76234 3.15394 4.30729],0.000287848,1.0
15,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0119973  0.0101296  0.00775728],[3.42534 2.95663 2.52266 3.72868],[0.      3.39895 3.5286  4.65882],0.000511775,1.0
16,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0160313  0.0136223  0.00826336],[4.05112 3.33962 2.4933  3.94152],[0.      4.24733 3.99348 5.00626],0.0016993,1.0
17,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0215899 0.018648  0.0104504],[4.6769  3.6001  2.54184 4.01342],[0.      4.94235 4.74662 5.38512],0.00325425,1.0
18,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0275933 0.0236711 0.0131475],[5.30269 3.85809 2.90229 4.1131 ],[0.      5.58214 5.4229  5.99355],0.0046812,1.0
19,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN125_FRIULI.A_A-TMZ000,[0.0315921 0.027508  0.0150951],[5.92847 4.2103  3.15399 4.37012],[0.      6.30052 6.03018 6.68867],0.00491718,1.0
20,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00322696 0.00258127 0.00151776],[0.327135 0.591295 0.927634 1.16616 ],[0.       0.642358 0.954284 1.14142 ],2.1116799999999997e-05,1.0
21,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.00923753 0.00694618 0.00397172],[1.01775 1.27119 1.5914  2.20583],[0.      1.27378 2.08204 2.69648],0.00130922,1.0
22,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0158704  0.0125331  0.00631624],[1.70837 1.80444 2.27635 2.55258],[0.      2.45251 3.72064 4.26095],0.00155484,1.0
23,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0209092  0.0150065  0.00805669],[2.39899 2.11061 2.35844 3.24354],[0.      2.95728 4.75743 5.64253],0.000384616,1.0
24,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0281371 0.0204816 0.0106921],[3.08961 2.44104 2.59058 3.70392],[0.      3.54153 5.68018 6.79353],0.00165672,1.0
25,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0349618 0.0250419 0.0131067],[3.78022 2.88745 2.82222 4.14753],[0.      4.19386 6.56783 7.92775],0.00125556,1.0
26,1.3666666666666667,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0432133 0.0291335 0.0154269],[4.47084 3.37439 3.13354 4.61776],[0.      4.76834 7.42909 9.0886 ],0.00293794,1.0
27,1.577777777777778,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0553358 0.0347047 0.0178188],[5.16146 3.80072 3.50294 4.97165],[ 0.       5.35467  8.22063 10.1331 ],0.00805732,1.0
28,1.788888888888889,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.0673024 0.0431671 0.0203012],[5.85208 4.25668 3.83449 5.27234],[ 0.       5.94424  9.11022 11.1244 ],0.012959,1.0
29,2.0,Resources/FEMA_P-695_far-field_ground_motions/RSN169_IMPVALL.H_H-DLT262,[0.078504  0.0502035 0.0237106],[6.5427  4.67611 4.06399 5.59283],[ 0.       6.55974  9.96346 12.1355 ],0.018316299999999997,1.0
30,0.1,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.00297898 0.00261764 0.00182497],[0.634187 1.03687  0.921829 1.3154  ],[0.      1.46116 1.35597 1.39781],7.88067e-05,1.0
31,0.3111111111111111,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0133547  0.00732927 0.00415081],[1.97303 1.72157 2.24548 2.2702 ],[0.      2.80802 2.94172 2.88922],0.00311446,1.0
32,0.5222222222222223,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0234415 0.0151674 0.0068987],[3.31187 2.35411 3.12177 2.94147],[0.      4.20494 3.44218 3.60432],0.00475935,1.0
33,0.7333333333333333,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0349356 0.0253742 0.0119845],[4.65071 3.33828 3.81601 3.46045],[0.      5.69355 5.02612 4.85931],0.00548352,1.0
34,0.9444444444444444,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0463736 0.0340865 0.0165072],[5.98955 3.98778 4.46985 4.26771],[0.      7.03316 7.02043 6.5729 ],0.00505798,1.0
35,1.1555555555555557,Resources/FEMA_P-695_far-field_ground_motions/RSN174_IMPVALL.H_H-E11140,[0.0627063 0.042858  0.0201387],[7.32839 4.38922 4.86579 4.80609],[0.      8.35041 8.3447  8.41605],0.0106728,1.0
